"2020-12-08","KL2345","CDG",null,"ICN",null,"scheduled"
"2020-12-08","AF267","CDG",null,"ICN",null,"scheduled"
"2020-12-08","KL856","AMS",null,"ICN",null,"scheduled"
"2020-12-08","OZ987","PVG",null,"ICN",null,"scheduled"
"2020-12-08","QF7524","CHC",null,"AKL",null,"scheduled"
"2020-12-08","QF7523","CHC",null,"AKL",null,"scheduled"
"2020-12-08","GJ8143","CAN",null,"SHE",null,"scheduled"
"2020-12-08","O36943","HGH",null,"KMG",null,"scheduled"
"2020-12-08","YG9061","CTU",null,"HGH",null,"scheduled"
"2020-12-08","GI4013","NTG",null,"JJN",null,"scheduled"
"2020-12-08","5X67","ANC",null,"KIX",10,"scheduled"
"2020-12-08","Y87492","PVG",null,"TSN",null,"scheduled"
"2020-12-08","GI4023","SZX",null,"TSN",null,"scheduled"
"2020-12-08","CF9101","NKG",null,"TSN",null,"scheduled"
"2020-12-08","YG9025","CAN",null,"TSN",null,"scheduled"
